Index	Predicted	Actual
104	    5	9
115	    9	4
149	    5	2
151 	8	9
193	    8	9
217	    5	6
241	    5	9
247	    2	4
321	    7	2
340	    3	5
381	    7	3
432 	5	4
445	    0	6
495	    0	8
582	    2	8
659	    8	2
674	    3	5
691	    4	8
717	    6	0
720	    8	5
726	    9	7
813	    8	9
839	    3	8
874	    4	9
877	    5	8
882	    7	9
924	    7	2
944	    8	3
947	    9	8
951	    4	5
1014	5	6
1039	2	7
1107	5	9
1112	6	4
1128	7	3
1156	8	7
1166	5	3
1181	1	6
1192	4	9
1217	7	9
1226	2	7
1232	6	9
1242	9	4
1247	5	9
1260	1	7
1319	0	8
1328	9	7
1337	6	2
1393	3	5
1494	0	7
1516	9	4
1522	9	7
1527	5	1
1530	7	8
1549	6	4
1553	5	9
1609	6	2
1621	6	0
1678	0	2
1681	7	3
1717	5	8
1732	5	9
1790	8	2
1901	4	9
1941	8	7
1952	5	9
1955	2	8
1982	5	6
1992	8	9
2016	2	7
2024	9	7
2044	7	2
2070	9	7
2093	1	8
2105	5	3
2109	9	3
2118	0	6
2129	8	9
2135	1	6
2224	6	5
2272	0	8
2293	6	9
2308	5	3
2387	1	9
2406	4	9
2414	4	9
2422	4	6
2447	9	4
2488	6	2
2514	9	4
2597	3	5
2607	1	7
2648	5	9
2654	1	6
2760	4	9
2770	7	3
2877	7	4
2896	0	8
2921	2	3
2927	2	3
2938	6	4
2939	5	9
2953	5	3
3021	7	2
3030	8	6
3114	6	4
3117	4	5
3176	7	2
3280	7	2
3333	9	7
3384	6	2
3441	8	7
3451	9	7
3475	7	3
3492	5	8
3503	1	9
3520	4	6
3549	2	3
3558	0	5
3559	3	8
3563	5	8
3565	6	5
3597	3	9
3681	8	2
3776	8	5
3780	6	4
3796	8	2
3853	8	6
3906	3	1
3941	6	4
4000	5	9
4063	5	6
4075	3	8
4078	3	9
4156	8	2
4163	0	9
4176	7	2
4199	9	7
4201	7	1
4248	8	2
4271	3	5
4289	7	2
4294	5	9
4439	4	6
4497	7	8
4504	7	2
4534	7	9
4536	5	6
4578	9	7
4635	5	3
4723	3	2
4731	3	8
4761	8	9
4807	3	8
4823	6	9
4833	2	3
4838	5	6
4879	6	8
4880	8	0
4939	7	2
4956	4	8
4966	4	7
5054	5	3
5067	2	3
5246	2	7
5457	8	1
5600	9	7
5734	7	3
5749	5	8
5841	5	3
5887	0	7
5888	6	4
5926	9	4
5936	9	4
5937	3	5
5955	8	3
5973	8	3
6011	5	3
6035	0	2
6166	5	9
6173	8	9
6511	5	3
6555	9	8
6559	7	4
6560	5	9
6568	4	9
6571	7	9
6597	7	0
6608	5	9
6614	7	2
6625	4	8
6632	5	9
6641	5	8
6651	1	0
6817	4	9
7081	4	9
7256	7	9
7459	5	9
7545	3	8
7821	2	3
7849	2	3
8062	8	5
8246	5	3
8325	6	0
8408	5	8
8410	6	8
8527	9	4
9009	2	7
9015	2	7
9024	2	7
9280	5	8
9316	5	8
9394	5	8
9587	4	9
9634	2	0
9642	7	9
9669	7	4
9679	3	6
9716	5	2
9729	6	5
9745	2	4
9770	0	5
9793	5	6
9808	4	9
9839	7	2
9847	7	2
9891	7	9
9944	5	3
9975	7	3
