Random1
First layer
0.5293452480568679+-70.31280507923107: -2.4424906541753444e-15
0.0055178607411074925+3.9736112667455195: -1.734723475976807e-18
16.990541975145536+-24.619510648872396: 0.0
-0.23360303491887788+-2.5100327545778995: 1.3877787807814457e-16
-7.62896867372686+-0.7774074057204803: -6.661338147750939e-16
-0.38472485086274205+8.883371449934899: 2.7755575615628914e-16
-5.794841783656609+-41.95075762713401: -8.881784197001252e-16
-1.5510413763611215+-5.464985547016119: 0.0
3.3371326523608578+-0.8519646209172992: -1.1102230246251565e-16
-2.9693505261103397+-16.275733544841874: 0.0
1.0310145995060793+-69.7834598311742: 0.0
-5.200208279600522+-68.75244523166812: -5.329070518200751e-15
13.841076096249846+-1.386133221864713: -6.661338147750939e-16
3.7076350717253423+3.3953070252379454: 0.0
-7.0160269233772405+-15.471578712385957: 8.881784197001252e-16
7.255749334004188+10.116325150827292: 0.0
-6.252987574450601+5.486016153143974: 0.0
-73.95265351126864+-11.844495874422059: -7.105427357601002e-15
-85.79714938569069+-8.420318456037341: -5.329070518200751e-15
-6.779970232833809+-36.16998555819804: 2.6645352591003757e-15
-4.843449006404614+-0.7669714213066268: 0.0
-9.254854253831011+-6.740245356724925: 0.0
-6.799997482377109+-7.728566218675713: -8.881784197001252e-16
9.339310680081839+-40.59322891559492: 1.7763568394002505e-15
-22.4876056357632+-23.439273505211354: -3.552713678800501e-15
12.454942874385134+8.498646599072156: -1.7763568394002505e-15
-27.18760555698692+-7.562891535236751: -3.552713678800501e-15
17.37207448483148+5.147883098965814: 8.881784197001252e-16
-9.428327768330426+-25.79276118038515: 0.0
-21.46084427611854+8.966291546568032: 0.0
-15.189968421774777+2.853743512742498: -8.881784197001252e-16
-6.6843930751674865+-31.253918235513083: -1.7763568394002505e-15
0.0031827641268427818+1.9642364146909372: 7.41594285980085e-17
-38.7253505647459+1.96741917881778: 1.9984014443252818e-15
-9.242629772266445+-36.757931385928124: 1.7763568394002505e-15
1.8943308779656791+16.30002958935765: 2.220446049250313e-16
-12.494552729550508+1.6164378525087555: 8.881784197001252e-16
-9.519229278310334+10.870694310225094: 0.0
