image_id,raw_range,eft_range
0,4.973799150320701e-14,0.0
1,9.947598300641403e-14,0.0
2,2.1316282072803006e-13,0.0
3,6.039613253960852e-14,0.0
4,6.394884621840902e-14,3.552713678800501e-15
5,1.7053025658242404e-13,0.0
6,4.618527782440651e-14,0.0
7,3.410605131648481e-13,0.0
8,2.8421709430404007e-13,0.0
9,4.618527782440651e-14,0.0
10,4.085620730620576e-14,0.0
11,5.684341886080802e-14,3.552713678800501e-15
12,6.572520305780927e-14,0.0
13,8.526512829121202e-14,3.552713678800501e-15
14,9.592326932761353e-14,3.552713678800501e-15
15,1.4210854715202004e-13,3.552713678800501e-15
16,7.105427357601002e-14,3.552713678800501e-15
17,9.947598300641403e-14,3.552713678800501e-15
18,4.973799150320701e-14,4.440892098500626e-16
19,1.3500311979441904e-13,0.0
20,9.592326932761353e-14,3.552713678800501e-15
21,3.907985046680551e-14,0.0
22,7.105427357601002e-14,0.0
23,1.2079226507921703e-13,0.0
24,1.3500311979441904e-13,0.0
25,4.263256414560601e-14,8.881784197001252e-16
26,1.0658141036401503e-13,3.552713678800501e-15
27,7.105427357601002e-14,3.552713678800501e-15
28,6.217248937900877e-14,0.0
29,4.263256414560601e-14,1.7763568394002505e-15
30,2.8421709430404007e-13,0.0
31,1.3500311979441904e-13,0.0
32,5.684341886080802e-14,3.552713678800501e-15
33,7.105427357601002e-14,1.7763568394002505e-15
34,2.2737367544323206e-13,0.0
35,1.8474111129762605e-13,4.440892098500626e-16
36,4.973799150320701e-14,0.0
37,1.9895196601282805e-13,3.552713678800501e-15
38,6.750155989720952e-14,4.440892098500626e-16
39,5.3290705182007514e-14,3.552713678800501e-15
40,1.7053025658242404e-13,0.0
41,1.7053025658242404e-13,0.0
42,4.085620730620576e-14,0.0
43,6.039613253960852e-14,1.7763568394002505e-15
44,3.694822225952521e-13,0.0
45,2.1316282072803006e-14,0.0
46,5.684341886080802e-14,3.552713678800501e-15
47,1.4921397450962104e-13,3.552713678800501e-15
48,3.197442310920451e-14,8.881784197001252e-16
49,3.197442310920451e-14,2.220446049250313e-16
50,1.0658141036401503e-13,3.552713678800501e-15
51,2.842170943040401e-14,4.440892098500626e-16
52,3.126388037344441e-13,7.105427357601002e-15
53,8.526512829121202e-14,3.552713678800501e-15
54,9.237055564881302e-14,3.552713678800501e-15
55,1.1368683772161603e-13,0.0
56,7.815970093361102e-14,3.552713678800501e-15
57,7.815970093361102e-14,8.881784197001252e-16
58,5.684341886080802e-14,3.552713678800501e-15
59,9.237055564881302e-14,4.440892098500626e-16
60,3.552713678800501e-14,0.0
61,7.815970093361102e-14,0.0
62,1.6342482922482304e-13,3.552713678800501e-15
63,7.460698725481052e-14,1.1102230246251565e-16
64,1.7763568394002505e-13,0.0
65,1.6342482922482304e-13,0.0
66,2.042810365310288e-14,8.881784197001252e-16
67,6.039613253960852e-14,0.0
68,4.440892098500626e-14,8.881784197001252e-16
69,2.5579538487363607e-13,0.0
70,2.842170943040401e-14,0.0
71,5.684341886080802e-14,3.552713678800501e-15
72,1.2434497875801753e-13,0.0
73,4.263256414560601e-14,3.552713678800501e-15
74,3.730349362740526e-14,1.7763568394002505e-15
75,5.3290705182007514e-14,3.552713678800501e-15
76,2.1316282072803006e-13,7.105427357601002e-15
77,8.526512829121202e-14,3.552713678800501e-15
78,6.394884621840902e-14,3.552713678800501e-15
79,1.0480505352461478e-13,4.440892098500626e-16
80,4.263256414560601e-14,4.440892098500626e-16
81,1.9895196601282805e-13,0.0
82,7.105427357601002e-13,3.552713678800501e-15
83,6.394884621840902e-14,0.0
84,2.1316282072803006e-13,7.105427357601002e-15
85,1.2789769243681803e-13,8.881784197001252e-16
86,9.947598300641403e-14,0.0
87,5.3290705182007514e-14,3.552713678800501e-15
88,2.1316282072803006e-13,2.220446049250313e-16
89,7.815970093361102e-14,3.552713678800501e-15
90,1.9895196601282805e-13,0.0
91,3.907985046680551e-14,0.0
92,3.339550858072471e-13,0.0
93,5.684341886080802e-14,0.0
94,1.8474111129762605e-13,3.552713678800501e-15
95,3.730349362740526e-14,1.7763568394002505e-15
96,4.618527782440651e-14,7.105427357601002e-15
97,1.4921397450962104e-13,4.440892098500626e-16
98,4.263256414560601e-14,3.552713678800501e-15
99,7.815970093361102e-14,3.552713678800501e-15
100,9.237055564881302e-14,0.0
101,3.552713678800501e-13,0.0
102,3.552713678800501e-14,8.881784197001252e-16
103,3.197442310920451e-14,2.220446049250313e-16
104,6.039613253960852e-14,0.0
105,3.907985046680551e-14,4.440892098500626e-16
106,4.263256414560601e-13,0.0
107,5.3290705182007514e-14,8.881784197001252e-16
108,5.861977570020827e-14,1.7763568394002505e-15
109,4.796163466380676e-14,4.440892098500626e-16
110,6.750155989720952e-14,3.552713678800501e-15
111,2.5579538487363607e-13,3.552713678800501e-15
112,3.552713678800501e-14,0.0
113,6.394884621840902e-14,7.105427357601002e-15
114,3.979039320256561e-13,0.0
115,1.0658141036401503e-13,0.0
116,7.815970093361102e-14,3.552713678800501e-15
117,4.973799150320701e-14,4.440892098500626e-16
118,3.5416114485542494e-14,8.881784197001252e-16
119,7.815970093361102e-14,3.552713678800501e-15
120,9.947598300641403e-14,0.0
121,3.268496584496461e-13,4.440892098500626e-16
122,4.6629367034256575e-14,8.881784197001252e-16
123,5.5067062021407764e-14,0.0
124,9.947598300641403e-14,0.0
125,1.1368683772161603e-13,0.0
126,1.7763568394002505e-13,0.0
127,4.440892098500626e-14,2.220446049250313e-16
128,4.973799150320701e-14,0.0
129,2.1316282072803006e-13,0.0
130,3.197442310920451e-14,0.0
131,4.973799150320701e-14,1.7763568394002505e-15
132,6.750155989720952e-14,3.552713678800501e-15
133,1.7763568394002505e-13,7.105427357601002e-15
134,9.237055564881302e-14,3.552713678800501e-15
135,1.7053025658242404e-13,3.552713678800501e-15
136,4.796163466380676e-14,1.1102230246251565e-16
137,2.1316282072803006e-13,0.0
138,5.3290705182007514e-14,8.881784197001252e-16
139,2.5579538487363607e-13,3.552713678800501e-15
140,1.7763568394002505e-13,3.552713678800501e-15
141,6.394884621840902e-14,1.7763568394002505e-15
142,1.0658141036401503e-13,3.552713678800501e-15
143,2.3447910280083306e-13,4.440892098500626e-16
144,1.7053025658242404e-13,0.0
145,7.105427357601002e-14,7.105427357601002e-15
146,1.2434497875801753e-13,4.440892098500626e-16
147,5.3290705182007514e-14,3.552713678800501e-15
148,7.105427357601002e-14,3.552713678800501e-15
149,4.796163466380676e-14,8.881784197001252e-16
150,3.907985046680551e-14,0.0
151,4.3076653355456074e-14,4.440892098500626e-16
152,1.9184653865522705e-13,3.552713678800501e-15
153,8.526512829121202e-14,0.0
154,2.5579538487363607e-13,0.0
155,9.947598300641403e-14,0.0
156,6.394884621840902e-14,3.552713678800501e-15
157,2.842170943040401e-14,4.440892098500626e-16
158,6.750155989720952e-14,3.552713678800501e-15
159,7.815970093361102e-14,0.0
160,5.3290705182007514e-14,0.0
161,7.460698725481052e-14,3.552713678800501e-15
162,1.1013412404281553e-13,7.105427357601002e-15
163,5.684341886080802e-14,3.552713678800501e-15
164,1.0658141036401503e-13,4.440892098500626e-16
165,7.815970093361102e-14,0.0
166,3.019806626980426e-14,1.7763568394002505e-15
167,4.1744385725905886e-14,8.881784197001252e-16
168,4.618527782440651e-14,8.881784197001252e-16
169,7.460698725481052e-14,3.552713678800501e-15
170,8.526512829121202e-14,3.552713678800501e-15
171,1.9895196601282805e-13,0.0
172,6.750155989720952e-14,0.0
173,5.684341886080802e-14,0.0
174,1.0658141036401503e-13,0.0
175,7.815970093361102e-14,3.552713678800501e-15
176,6.394884621840902e-14,3.552713678800501e-15
177,1.3500311979441904e-13,4.440892098500626e-16
178,6.750155989720952e-14,0.0
179,1.4921397450962104e-13,3.552713678800501e-15
180,2.1316282072803006e-13,1.7763568394002505e-15
181,6.039613253960852e-14,0.0
182,5.3290705182007514e-14,3.552713678800501e-15
183,4.973799150320701e-14,3.552713678800501e-15
184,4.263256414560601e-14,0.0
185,6.750155989720952e-14,3.552713678800501e-15
186,6.394884621840902e-14,0.0
187,4.085620730620576e-14,4.440892098500626e-16
188,4.884981308350689e-14,1.7763568394002505e-15
189,3.552713678800501e-14,8.881784197001252e-16
190,5.684341886080802e-14,4.440892098500626e-16
191,5.684341886080802e-14,3.552713678800501e-15
192,7.105427357601002e-14,0.0
193,6.394884621840902e-14,7.105427357601002e-15
194,6.394884621840902e-14,3.552713678800501e-15
195,6.394884621840902e-14,3.552713678800501e-15
196,4.973799150320701e-14,3.552713678800501e-15
197,6.750155989720952e-14,0.0
198,1.2789769243681803e-13,3.552713678800501e-15
199,1.5631940186722204e-13,0.0
200,4.973799150320701e-14,0.0
201,1.2079226507921703e-13,3.552713678800501e-15
202,3.907985046680551e-14,0.0
203,4.796163466380676e-14,8.881784197001252e-16
204,7.815970093361102e-14,3.552713678800501e-15
205,4.618527782440651e-14,1.7763568394002505e-15
206,1.2079226507921703e-13,0.0
207,4.263256414560601e-14,0.0
208,6.217248937900877e-14,0.0
209,1.4210854715202004e-13,0.0
210,3.907985046680551e-14,4.440892098500626e-16
211,4.973799150320701e-14,0.0
212,5.684341886080802e-14,0.0
213,4.907185768843192e-14,4.440892098500626e-16
214,1.7053025658242404e-13,0.0
215,1.2789769243681803e-13,0.0
216,7.105427357601002e-14,4.440892098500626e-16
217,1.9184653865522705e-13,0.0
218,3.197442310920451e-14,0.0
219,3.197442310920451e-14,8.881784197001252e-16
220,7.815970093361102e-14,3.552713678800501e-15
221,1.7053025658242404e-13,0.0
222,1.5987211554602254e-14,8.881784197001252e-16
223,1.7763568394002505e-13,4.440892098500626e-16
224,7.105427357601002e-14,0.0
225,5.684341886080802e-14,0.0
226,2.984279490192421e-13,0.0
227,1.1368683772161603e-13,0.0
228,3.552713678800501e-14,0.0
229,9.237055564881302e-14,3.552713678800501e-15
230,3.197442310920451e-14,0.0
231,7.105427357601002e-14,3.552713678800501e-15
232,7.549516567451064e-14,4.440892098500626e-16
233,8.881784197001252e-14,3.552713678800501e-15
234,6.128431095930864e-14,4.440892098500626e-16
235,1.2789769243681803e-13,8.881784197001252e-16
236,3.410605131648481e-13,0.0
237,1.0302869668521453e-13,8.881784197001252e-16
238,4.618527782440651e-14,0.0
239,7.815970093361102e-14,0.0
240,4.121147867408581e-13,0.0
241,1.4210854715202004e-13,3.552713678800501e-15
242,7.283063041541027e-14,3.552713678800501e-15
243,3.019806626980426e-14,4.440892098500626e-16
244,5.3290705182007514e-14,4.440892098500626e-16
245,6.750155989720952e-14,8.881784197001252e-16
246,3.410605131648481e-13,0.0
247,7.105427357601002e-14,3.552713678800501e-15
248,3.907985046680551e-14,3.552713678800501e-15
249,1.7053025658242404e-13,4.440892098500626e-16
250,4.796163466380676e-14,4.440892098500626e-16
251,3.552713678800501e-14,8.881784197001252e-16
252,4.618527782440651e-14,4.440892098500626e-16
253,1.9895196601282805e-13,0.0
254,8.171241461241152e-14,3.552713678800501e-15
255,9.237055564881302e-14,3.552713678800501e-15
256,1.5631940186722204e-13,0.0
257,4.831690603168681e-13,1.1102230246251565e-16
258,8.526512829121202e-14,3.552713678800501e-15
259,1.0658141036401503e-13,0.0
260,2.1316282072803006e-13,4.440892098500626e-16
261,2.842170943040401e-14,0.0
262,3.907985046680551e-14,4.440892098500626e-16
263,9.947598300641403e-14,0.0
264,1.9184653865522705e-13,2.220446049250313e-16
265,2.5579538487363607e-13,8.881784197001252e-16
266,4.618527782440651e-14,0.0
267,4.973799150320701e-14,2.220446049250313e-16
268,4.796163466380676e-14,0.0
269,4.973799150320701e-14,3.552713678800501e-15
270,1.4210854715202004e-13,1.7763568394002505e-15
271,3.730349362740526e-14,4.440892098500626e-16
272,1.4210854715202004e-13,8.881784197001252e-16
273,4.263256414560601e-14,1.7763568394002505e-15
274,9.237055564881302e-14,0.0
275,3.090860900556436e-13,0.0
276,4.085620730620576e-14,1.7763568394002505e-15
277,5.684341886080802e-14,0.0
278,4.263256414560601e-14,0.0
279,3.108624468950438e-14,2.220446049250313e-16
280,1.5631940186722204e-13,8.881784197001252e-16
281,1.5987211554602254e-13,4.440892098500626e-16
282,5.684341886080802e-14,7.105427357601002e-15
283,6.394884621840902e-14,0.0
284,9.947598300641403e-14,3.552713678800501e-15
285,4.050093593832571e-13,0.0
286,4.973799150320701e-14,3.552713678800501e-15
287,6.927791673660977e-14,0.0
288,9.947598300641403e-14,0.0
289,6.039613253960852e-14,0.0
290,2.1316282072803006e-13,3.552713678800501e-15
291,7.105427357601002e-14,0.0
