image_id,raw_range,eft_range
0,4.085620730620576e-14,0.0
1,8.526512829121202e-14,0.0
2,2.4158453015843406e-13,0.0
3,5.684341886080802e-14,0.0
4,4.973799150320701e-14,3.552713678800501e-15
5,1.7053025658242404e-13,0.0
6,4.263256414560601e-14,0.0
7,3.836930773104541e-13,0.0
8,3.126388037344441e-13,0.0
9,4.618527782440651e-14,0.0
10,3.552713678800501e-14,0.0
11,8.171241461241152e-14,3.552713678800501e-15
12,7.105427357601002e-14,0.0
13,7.105427357601002e-14,3.552713678800501e-15
14,1.0658141036401503e-13,3.552713678800501e-15
15,1.4210854715202004e-13,3.552713678800501e-15
16,6.394884621840902e-14,3.552713678800501e-15
17,9.237055564881302e-14,3.552713678800501e-15
18,4.618527782440651e-14,4.440892098500626e-16
19,1.5631940186722204e-13,0.0
20,8.526512829121202e-14,3.552713678800501e-15
21,3.730349362740526e-14,0.0
22,7.105427357601002e-14,0.0
23,1.1368683772161603e-13,0.0
24,1.5987211554602254e-13,0.0
25,4.973799150320701e-14,8.881784197001252e-16
26,9.237055564881302e-14,3.552713678800501e-15
27,6.394884621840902e-14,3.552713678800501e-15
28,4.707345624410664e-14,0.0
29,4.618527782440651e-14,1.7763568394002505e-15
30,3.126388037344441e-13,0.0
31,1.3500311979441904e-13,0.0
32,5.684341886080802e-14,3.552713678800501e-15
33,6.750155989720952e-14,1.7763568394002505e-15
34,2.2737367544323206e-13,0.0
35,2.0605739337042905e-13,4.440892098500626e-16
36,4.618527782440651e-14,0.0
37,1.7053025658242404e-13,3.552713678800501e-15
38,7.815970093361102e-14,4.440892098500626e-16
39,5.240252676230739e-14,3.552713678800501e-15
40,1.4210854715202004e-13,0.0
41,1.8474111129762605e-13,0.0
42,3.907985046680551e-14,0.0
43,6.394884621840902e-14,1.7763568394002505e-15
44,4.121147867408581e-13,0.0
45,2.220446049250313e-14,0.0
46,5.5067062021407764e-14,3.552713678800501e-15
47,1.4921397450962104e-13,3.552713678800501e-15
48,3.552713678800501e-14,8.881784197001252e-16
49,3.907985046680551e-14,2.220446049250313e-16
50,1.2079226507921703e-13,3.552713678800501e-15
51,3.019806626980426e-14,4.440892098500626e-16
52,2.8421709430404007e-13,7.105427357601002e-15
53,7.815970093361102e-14,3.552713678800501e-15
54,8.526512829121202e-14,3.552713678800501e-15
55,1.2079226507921703e-13,0.0
56,7.460698725481052e-14,3.552713678800501e-15
57,7.815970093361102e-14,8.881784197001252e-16
58,5.3290705182007514e-14,3.552713678800501e-15
59,9.237055564881302e-14,4.440892098500626e-16
60,3.419486915845482e-14,0.0
61,6.394884621840902e-14,0.0
62,1.5631940186722204e-13,3.552713678800501e-15
63,6.750155989720952e-14,1.1102230246251565e-16
64,1.5631940186722204e-13,0.0
65,1.5631940186722204e-13,0.0
66,2.042810365310288e-14,8.881784197001252e-16
67,6.750155989720952e-14,0.0
68,3.4638958368304884e-14,8.881784197001252e-16
69,2.4158453015843406e-13,0.0
70,2.3092638912203256e-14,0.0
71,4.973799150320701e-14,3.552713678800501e-15
72,1.1368683772161603e-13,0.0
73,4.263256414560601e-14,3.552713678800501e-15
74,3.730349362740526e-14,1.7763568394002505e-15
75,4.263256414560601e-14,3.552713678800501e-15
76,1.8474111129762605e-13,7.105427357601002e-15
77,8.881784197001252e-14,3.552713678800501e-15
78,6.394884621840902e-14,3.552713678800501e-15
79,1.0835776720341528e-13,4.440892098500626e-16
80,4.263256414560601e-14,4.440892098500626e-16
81,1.7053025658242404e-13,0.0
82,7.958078640513122e-13,3.552713678800501e-15
83,7.815970093361102e-14,0.0
84,1.7053025658242404e-13,7.105427357601002e-15
85,1.2079226507921703e-13,8.881784197001252e-16
86,9.947598300641403e-14,0.0
87,5.684341886080802e-14,3.552713678800501e-15
88,2.4158453015843406e-13,2.220446049250313e-16
89,8.171241461241152e-14,3.552713678800501e-15
90,1.9895196601282805e-13,0.0
91,3.907985046680551e-14,0.0
92,4.192202140984591e-13,0.0
93,6.039613253960852e-14,0.0
94,1.4921397450962104e-13,3.552713678800501e-15
95,3.552713678800501e-14,1.7763568394002505e-15
96,7.105427357601002e-14,7.105427357601002e-15
97,1.5987211554602254e-13,4.440892098500626e-16
98,4.973799150320701e-14,3.552713678800501e-15
99,7.460698725481052e-14,3.552713678800501e-15
100,7.105427357601002e-14,0.0
101,3.552713678800501e-13,0.0
102,4.618527782440651e-14,8.881784197001252e-16
103,3.197442310920451e-14,2.220446049250313e-16
104,6.039613253960852e-14,0.0
105,3.552713678800501e-14,4.440892098500626e-16
106,4.263256414560601e-13,0.0
107,6.039613253960852e-14,8.881784197001252e-16
108,6.750155989720952e-14,1.7763568394002505e-15
109,4.085620730620576e-14,4.440892098500626e-16
110,6.750155989720952e-14,3.552713678800501e-15
111,2.8421709430404007e-13,3.552713678800501e-15
112,3.907985046680551e-14,0.0
113,6.394884621840902e-14,7.105427357601002e-15
114,3.979039320256561e-13,0.0
115,1.2789769243681803e-13,0.0
116,7.460698725481052e-14,3.552713678800501e-15
117,4.618527782440651e-14,4.440892098500626e-16
118,3.108624468950438e-14,8.881784197001252e-16
119,7.105427357601002e-14,3.552713678800501e-15
120,1.2079226507921703e-13,0.0
121,2.4158453015843406e-13,4.440892098500626e-16
122,4.263256414560601e-14,8.881784197001252e-16
123,4.796163466380676e-14,0.0
124,9.947598300641403e-14,0.0
125,1.3500311979441904e-13,0.0
126,1.6342482922482304e-13,0.0
127,4.085620730620576e-14,2.220446049250313e-16
128,5.684341886080802e-14,0.0
129,1.8474111129762605e-13,0.0
130,3.197442310920451e-14,0.0
131,4.263256414560601e-14,1.7763568394002505e-15
132,5.684341886080802e-14,3.552713678800501e-15
133,1.6342482922482304e-13,7.105427357601002e-15
134,9.947598300641403e-14,3.552713678800501e-15
135,1.9895196601282805e-13,3.552713678800501e-15
136,4.440892098500626e-14,1.1102230246251565e-16
137,2.2737367544323206e-13,0.0
138,5.3290705182007514e-14,8.881784197001252e-16
139,2.5579538487363607e-13,3.552713678800501e-15
140,1.7053025658242404e-13,3.552713678800501e-15
141,8.526512829121202e-14,1.7763568394002505e-15
142,1.2079226507921703e-13,3.552713678800501e-15
143,2.5579538487363607e-13,4.440892098500626e-16
144,1.5631940186722204e-13,0.0
145,8.526512829121202e-14,7.105427357601002e-15
146,1.3500311979441904e-13,4.440892098500626e-16
147,6.039613253960852e-14,3.552713678800501e-15
148,7.105427357601002e-14,3.552713678800501e-15
149,4.263256414560601e-14,8.881784197001252e-16
150,3.907985046680551e-14,0.0
151,3.9968028886505635e-14,4.440892098500626e-16
152,1.5631940186722204e-13,3.552713678800501e-15
153,7.105427357601002e-14,0.0
154,2.2737367544323206e-13,0.0
155,7.815970093361102e-14,0.0
156,7.815970093361102e-14,3.552713678800501e-15
157,2.842170943040401e-14,4.440892098500626e-16
158,6.750155989720952e-14,3.552713678800501e-15
159,7.815970093361102e-14,0.0
160,4.529709940470639e-14,0.0
161,6.750155989720952e-14,3.552713678800501e-15
162,1.3500311979441904e-13,7.105427357601002e-15
163,5.684341886080802e-14,3.552713678800501e-15
164,1.1368683772161603e-13,4.440892098500626e-16
165,7.105427357601002e-14,0.0
166,3.552713678800501e-14,1.7763568394002505e-15
167,4.263256414560601e-14,8.881784197001252e-16
168,5.3290705182007514e-14,8.881784197001252e-16
169,7.105427357601002e-14,3.552713678800501e-15
170,7.105427357601002e-14,3.552713678800501e-15
171,2.2737367544323206e-13,0.0
172,7.105427357601002e-14,0.0
173,4.973799150320701e-14,0.0
174,1.3500311979441904e-13,0.0
175,8.526512829121202e-14,3.552713678800501e-15
176,5.684341886080802e-14,3.552713678800501e-15
177,1.2789769243681803e-13,4.440892098500626e-16
178,7.283063041541027e-14,0.0
179,1.6342482922482304e-13,3.552713678800501e-15
180,2.2026824808563106e-13,1.7763568394002505e-15
181,6.217248937900877e-14,0.0
182,5.684341886080802e-14,3.552713678800501e-15
183,4.884981308350689e-14,3.552713678800501e-15
184,4.973799150320701e-14,0.0
185,5.684341886080802e-14,3.552713678800501e-15
186,5.861977570020827e-14,0.0
187,4.263256414560601e-14,4.440892098500626e-16
188,3.907985046680551e-14,1.7763568394002505e-15
189,3.197442310920451e-14,8.881784197001252e-16
190,5.684341886080802e-14,4.440892098500626e-16
191,5.3290705182007514e-14,3.552713678800501e-15
192,6.394884621840902e-14,0.0
193,5.684341886080802e-14,7.105427357601002e-15
194,6.750155989720952e-14,3.552713678800501e-15
195,6.039613253960852e-14,3.552713678800501e-15
196,5.684341886080802e-14,3.552713678800501e-15
197,6.394884621840902e-14,0.0
198,1.2789769243681803e-13,3.552713678800501e-15
199,1.7763568394002505e-13,0.0
200,4.973799150320701e-14,0.0
201,1.3500311979441904e-13,3.552713678800501e-15
202,3.730349362740526e-14,0.0
203,4.973799150320701e-14,8.881784197001252e-16
204,7.105427357601002e-14,3.552713678800501e-15
205,4.618527782440651e-14,1.7763568394002505e-15
206,1.3500311979441904e-13,0.0
207,4.263256414560601e-14,0.0
208,5.861977570020827e-14,0.0
209,1.7763568394002505e-13,0.0
210,3.552713678800501e-14,4.440892098500626e-16
211,4.973799150320701e-14,0.0
212,4.618527782440651e-14,0.0
213,4.618527782440651e-14,4.440892098500626e-16
214,1.8474111129762605e-13,0.0
215,1.1368683772161603e-13,0.0
216,6.394884621840902e-14,4.440892098500626e-16
217,2.4158453015843406e-13,0.0
218,2.842170943040401e-14,0.0
219,3.197442310920451e-14,8.881784197001252e-16
220,7.815970093361102e-14,3.552713678800501e-15
221,1.4921397450962104e-13,0.0
222,1.7763568394002505e-14,8.881784197001252e-16
223,1.7053025658242404e-13,4.440892098500626e-16
224,6.394884621840902e-14,0.0
225,4.973799150320701e-14,0.0
226,2.984279490192421e-13,0.0
227,1.1368683772161603e-13,0.0
228,3.552713678800501e-14,0.0
229,9.237055564881302e-14,3.552713678800501e-15
230,3.552713678800501e-14,0.0
231,7.815970093361102e-14,3.552713678800501e-15
232,4.973799150320701e-14,4.440892098500626e-16
233,9.592326932761353e-14,3.552713678800501e-15
234,5.684341886080802e-14,4.440892098500626e-16
235,1.2079226507921703e-13,8.881784197001252e-16
236,3.410605131648481e-13,0.0
237,9.237055564881302e-14,8.881784197001252e-16
238,4.618527782440651e-14,0.0
239,8.171241461241152e-14,0.0
240,4.405364961712621e-13,0.0
241,9.592326932761353e-14,3.552713678800501e-15
242,1.0125233984581428e-13,3.552713678800501e-15
243,3.552713678800501e-14,4.440892098500626e-16
244,4.796163466380676e-14,4.440892098500626e-16
245,6.039613253960852e-14,8.881784197001252e-16
246,3.623767952376511e-13,0.0
247,7.105427357601002e-14,3.552713678800501e-15
248,4.263256414560601e-14,3.552713678800501e-15
249,1.7763568394002505e-13,4.440892098500626e-16
250,4.796163466380676e-14,4.440892098500626e-16
251,3.907985046680551e-14,8.881784197001252e-16
252,4.263256414560601e-14,4.440892098500626e-16
253,2.5579538487363607e-13,0.0
254,7.815970093361102e-14,3.552713678800501e-15
255,7.460698725481052e-14,3.552713678800501e-15
256,1.4921397450962104e-13,0.0
257,5.115907697472721e-13,1.1102230246251565e-16
258,7.815970093361102e-14,3.552713678800501e-15
259,1.2789769243681803e-13,0.0
260,1.8474111129762605e-13,4.440892098500626e-16
261,3.197442310920451e-14,0.0
262,4.085620730620576e-14,4.440892098500626e-16
263,1.2789769243681803e-13,0.0
264,1.9184653865522705e-13,2.220446049250313e-16
265,2.1316282072803006e-13,8.881784197001252e-16
266,6.039613253960852e-14,0.0
267,6.750155989720952e-14,2.220446049250313e-16
268,4.263256414560601e-14,0.0
269,4.973799150320701e-14,3.552713678800501e-15
270,1.7053025658242404e-13,1.7763568394002505e-15
271,3.4638958368304884e-14,4.440892098500626e-16
272,1.7053025658242404e-13,8.881784197001252e-16
273,3.730349362740526e-14,1.7763568394002505e-15
274,7.815970093361102e-14,0.0
275,2.984279490192421e-13,0.0
276,4.618527782440651e-14,1.7763568394002505e-15
277,5.684341886080802e-14,0.0
278,3.552713678800501e-14,0.0
279,3.4638958368304884e-14,2.220446049250313e-16
280,1.7053025658242404e-13,8.881784197001252e-16
281,1.6697754290362354e-13,4.440892098500626e-16
282,4.973799150320701e-14,7.105427357601002e-15
283,6.039613253960852e-14,0.0
284,1.0658141036401503e-13,3.552713678800501e-15
285,4.050093593832571e-13,0.0
286,4.973799150320701e-14,3.552713678800501e-15
287,8.526512829121202e-14,0.0
288,1.0658141036401503e-13,0.0
289,6.039613253960852e-14,0.0
290,1.7053025658242404e-13,3.552713678800501e-15
291,6.838973831690964e-14,0.0
292,3.410605131648481e-13,0.0
293,1.6342482922482304e-13,3.552713678800501e-15
294,4.547473508864641e-13,3.552713678800501e-15
295,2.984279490192421e-13,0.0
296,3.552713678800501e-14,0.0
297,4.973799150320701e-14,4.440892098500626e-16
298,4.973799150320701e-14,2.220446049250313e-16
299,1.2789769243681803e-13,0.0
300,4.973799150320701e-14,3.552713678800501e-15
301,6.039613253960852e-14,3.552713678800501e-15
302,6.252776074688882e-13,1.7763568394002505e-15
303,1.7763568394002505e-13,1.1102230246251565e-16
304,1.1368683772161603e-13,3.552713678800501e-15
305,1.1368683772161603e-13,8.881784197001252e-16
306,5.1514348342607263e-14,2.220446049250313e-16
307,4.973799150320701e-14,3.552713678800501e-15
308,6.039613253960852e-14,0.0
309,6.217248937900877e-14,0.0
310,2.4158453015843406e-13,0.0
311,2.6290081223123707e-13,0.0
312,3.907985046680551e-14,5.551115123125783e-17
313,7.815970093361102e-14,3.552713678800501e-15
314,8.526512829121202e-14,0.0
315,1.1368683772161603e-13,3.552713678800501e-15
316,3.197442310920451e-14,0.0
317,2.5579538487363607e-13,0.0
318,2.984279490192421e-13,4.440892098500626e-16
319,4.263256414560601e-14,2.220446049250313e-16
320,4.6629367034256575e-14,4.440892098500626e-16
321,6.394884621840902e-14,3.552713678800501e-15
322,1.2789769243681803e-13,3.552713678800501e-15
323,1.8474111129762605e-13,1.1102230246251565e-16
324,3.410605131648481e-13,0.0
325,6.750155989720952e-14,8.881784197001252e-16
326,6.039613253960852e-14,0.0
327,4.263256414560601e-14,1.7763568394002505e-15
328,4.973799150320701e-14,0.0
329,6.394884621840902e-14,3.552713678800501e-15
330,1.7053025658242404e-13,0.0
331,3.2862601528904634e-14,8.881784197001252e-16
332,1.1013412404281553e-13,3.552713678800501e-15
333,5.684341886080802e-14,8.881784197001252e-16
334,1.4921397450962104e-13,0.0
335,7.105427357601002e-14,3.552713678800501e-15
336,6.750155989720952e-14,0.0
337,6.394884621840902e-14,8.881784197001252e-16
338,3.907985046680551e-14,5.551115123125783e-17
339,7.815970093361102e-14,0.0
340,7.815970093361102e-14,0.0
341,6.394884621840902e-14,0.0
342,3.907985046680551e-14,3.552713678800501e-15
343,2.5579538487363607e-13,0.0
344,5.684341886080802e-14,3.552713678800501e-15
345,1.7053025658242404e-13,3.552713678800501e-15
346,1.0658141036401503e-13,3.552713678800501e-15
347,4.085620730620576e-14,0.0
348,7.638334409421077e-14,0.0
349,9.414691248821327e-14,0.0
350,4.618527782440651e-14,0.0
351,4.618527782440651e-14,0.0
352,6.394884621840902e-14,3.552713678800501e-15
353,7.815970093361102e-14,3.552713678800501e-15
354,5.3290705182007514e-14,3.552713678800501e-15
355,9.947598300641403e-14,3.552713678800501e-15
356,4.263256414560601e-14,3.552713678800501e-15
357,4.085620730620576e-14,0.0
358,1.8474111129762605e-13,0.0
359,4.440892098500626e-14,8.881784197001252e-16
360,5.684341886080802e-14,0.0
361,4.973799150320701e-14,0.0
362,5.684341886080802e-14,3.552713678800501e-15
363,6.394884621840902e-14,0.0
364,3.907985046680551e-14,4.440892098500626e-16
365,3.907985046680551e-14,8.881784197001252e-16
366,1.0658141036401503e-13,0.0
367,6.039613253960852e-14,2.220446049250313e-16
368,7.815970093361102e-14,3.552713678800501e-15
369,3.552713678800501e-13,0.0
370,3.019806626980426e-14,0.0
371,9.237055564881302e-14,4.440892098500626e-16
372,9.592326932761353e-14,0.0
373,2.6645352591003757e-14,2.220446049250313e-16
374,4.973799150320701e-14,3.552713678800501e-15
375,6.394884621840902e-14,0.0
376,7.815970093361102e-14,0.0
377,6.039613253960852e-14,0.0
378,5.3290705182007514e-14,0.0
379,5.1514348342607263e-14,2.220446049250313e-16
380,2.4158453015843406e-13,0.0
381,6.039613253960852e-14,2.220446049250313e-16
382,7.105427357601002e-14,3.552713678800501e-15
383,1.4210854715202004e-13,0.0
384,4.547473508864641e-13,0.0
385,2.2737367544323206e-13,0.0
386,2.2737367544323206e-13,0.0
387,2.4868995751603507e-14,1.7763568394002505e-15
388,4.973799150320701e-14,3.552713678800501e-15
389,6.039613253960852e-14,3.552713678800501e-15
390,3.765876499528531e-13,0.0
391,3.907985046680551e-14,0.0
392,4.440892098500626e-14,4.440892098500626e-16
393,5.115907697472721e-13,0.0
394,3.730349362740526e-14,4.440892098500626e-16
395,8.171241461241152e-14,3.552713678800501e-15
396,3.765876499528531e-13,0.0
397,2.913225216616411e-13,0.0
398,1.5631940186722204e-13,0.0
399,5.3290705182007514e-14,3.552713678800501e-15
400,2.5579538487363607e-13,0.0
401,3.730349362740526e-14,3.552713678800501e-15
402,5.684341886080802e-14,0.0
403,1.7763568394002505e-13,4.440892098500626e-16
404,4.618527782440651e-14,0.0
405,6.394884621840902e-14,1.1102230246251565e-16
406,2.4868995751603507e-14,4.440892098500626e-16
407,9.237055564881302e-14,3.552713678800501e-15
408,4.618527782440651e-14,3.552713678800501e-15
409,4.973799150320701e-14,0.0
410,8.526512829121202e-14,0.0
411,2.8421709430404007e-13,4.440892098500626e-16
412,3.907985046680551e-14,0.0
413,6.394884621840902e-14,1.7763568394002505e-15
414,6.750155989720952e-14,0.0
415,6.394884621840902e-14,0.0
416,7.105427357601002e-14,3.552713678800501e-15
417,1.7763568394002505e-13,3.552713678800501e-15
418,1.2434497875801753e-13,0.0
419,6.039613253960852e-14,0.0
420,2.2737367544323206e-13,0.0
421,9.237055564881302e-14,3.552713678800501e-15
422,1.2079226507921703e-13,3.552713678800501e-15
423,5.684341886080801e-13,3.552713678800501e-15
424,2.4158453015843406e-13,0.0
425,4.440892098500626e-14,0.0
426,3.197442310920451e-14,0.0
427,3.126388037344441e-13,1.4210854715202004e-14
428,6.394884621840902e-14,3.552713678800501e-15
429,1.2789769243681803e-13,1.7763568394002505e-15
430,2.3447910280083306e-13,0.0
431,6.039613253960852e-14,3.552713678800501e-15
432,8.704148513061227e-14,2.220446049250313e-16
433,1.0658141036401503e-13,3.552713678800501e-15
434,1.0658141036401503e-13,3.552713678800501e-15
435,8.881784197001252e-14,3.552713678800501e-15
436,1.7763568394002505e-13,3.552713678800501e-15
437,1.0658141036401503e-13,3.552713678800501e-15
438,1.6342482922482304e-13,7.105427357601002e-15
439,6.394884621840902e-14,0.0
440,1.1368683772161603e-13,0.0
441,3.552713678800501e-14,8.881784197001252e-16
442,1.9184653865522705e-13,2.220446049250313e-16
443,5.861977570020827e-14,1.7763568394002505e-15
444,8.881784197001252e-14,3.552713678800501e-15
445,1.0658141036401503e-13,0.0
446,7.815970093361102e-14,3.552713678800501e-15
447,1.6342482922482304e-13,4.440892098500626e-16
448,3.907985046680551e-14,0.0
449,2.5579538487363607e-13,2.220446049250313e-16
450,1.2789769243681803e-13,0.0
451,8.526512829121202e-14,3.552713678800501e-15
452,5.684341886080802e-14,3.552713678800501e-15
453,1.8474111129762605e-13,0.0
454,6.039613253960852e-14,2.220446049250313e-16
455,1.2789769243681803e-13,2.220446049250313e-16
456,5.3290705182007514e-14,0.0
457,4.440892098500626e-14,2.220446049250313e-16
458,1.5631940186722204e-13,0.0
459,1.0658141036401503e-13,3.552713678800501e-15
460,4.973799150320701e-14,4.440892098500626e-16
461,5.595524044110789e-14,3.552713678800501e-15
462,5.684341886080802e-14,3.552713678800501e-15
463,8.526512829121202e-14,0.0
464,1.9895196601282805e-13,1.7763568394002505e-15
465,3.552713678800501e-14,0.0
466,9.237055564881302e-14,0.0
467,1.2789769243681803e-13,0.0
468,6.039613253960852e-14,3.552713678800501e-15
469,1.4921397450962104e-13,0.0
470,7.815970093361102e-14,0.0
471,2.7533531010703882e-14,4.440892098500626e-16
472,2.8421709430404007e-13,0.0
473,4.440892098500626e-14,4.440892098500626e-16
474,4.263256414560601e-14,3.552713678800501e-15
475,1.9539925233402755e-14,0.0
476,3.019806626980426e-14,4.440892098500626e-16
477,2.6645352591003757e-14,0.0
478,6.750155989720952e-14,3.552713678800501e-15
479,8.526512829121202e-14,3.552713678800501e-15
480,1.4210854715202004e-13,0.0
481,6.394884621840902e-14,0.0
482,7.105427357601002e-14,0.0
483,3.552713678800501e-14,0.0
484,7.389644451905042e-13,0.0
485,3.8191672047105385e-14,0.0
486,5.3290705182007514e-14,3.552713678800501e-15
487,1.0658141036401503e-13,4.440892098500626e-16
488,9.237055564881302e-14,4.440892098500626e-16
489,4.405364961712621e-13,8.881784197001252e-16
490,3.552713678800501e-14,4.440892098500626e-16
491,4.405364961712621e-13,8.881784197001252e-16
492,1.9184653865522705e-13,1.1102230246251565e-16
493,8.526512829121202e-14,0.0
494,9.237055564881302e-14,4.440892098500626e-16
495,7.105427357601002e-14,3.552713678800501e-15
496,2.1316282072803006e-13,0.0
497,6.394884621840902e-14,3.552713678800501e-15
498,2.6645352591003757e-14,4.440892098500626e-16
499,4.973799150320701e-14,3.552713678800501e-15
500,4.440892098500626e-14,8.881784197001252e-16
501,2.3447910280083306e-13,0.0
502,2.4158453015843406e-13,0.0
503,4.618527782440651e-14,4.440892098500626e-16
504,2.4158453015843406e-13,0.0
505,2.2737367544323206e-13,0.0
506,2.4868995751603507e-14,8.881784197001252e-16
507,8.526512829121202e-14,3.552713678800501e-15
508,3.197442310920451e-14,0.0
509,1.4921397450962104e-13,0.0
510,4.973799150320701e-14,0.0
511,4.085620730620576e-14,1.7763568394002505e-15
512,4.263256414560601e-14,3.552713678800501e-15
513,4.263256414560601e-14,0.0
514,6.750155989720952e-14,3.552713678800501e-15
515,1.5631940186722204e-13,3.552713678800501e-15
516,1.4210854715202004e-13,0.0
517,1.5631940186722204e-13,0.0
518,6.394884621840902e-14,0.0
519,1.4921397450962104e-13,3.552713678800501e-15
520,3.375077994860476e-14,8.881784197001252e-16
521,1.2789769243681803e-13,3.552713678800501e-15
522,7.105427357601002e-14,3.552713678800501e-15
523,3.907985046680551e-14,1.7763568394002505e-15
524,4.440892098500626e-14,0.0
525,5.3290705182007514e-14,1.7763568394002505e-15
526,6.927791673660977e-14,8.881784197001252e-16
527,3.375077994860476e-14,0.0
528,1.8474111129762605e-13,0.0
529,5.417888360170764e-14,2.220446049250313e-16
530,4.263256414560601e-14,0.0
531,1.6431300764452317e-14,1.7763568394002505e-15
532,2.5579538487363607e-13,0.0
533,1.4210854715202004e-13,1.1102230246251565e-16
534,5.1514348342607263e-14,8.881784197001252e-16
535,2.4158453015843406e-13,0.0
536,4.618527782440651e-14,3.552713678800501e-15
537,4.973799150320701e-14,1.7763568394002505e-15
538,2.4868995751603507e-14,0.0
539,5.684341886080802e-14,0.0
540,3.197442310920451e-14,4.440892098500626e-16
541,3.552713678800501e-14,2.220446049250313e-16
542,8.881784197001252e-14,0.0
543,1.9895196601282805e-13,7.105427357601002e-15
544,1.7053025658242404e-13,3.552713678800501e-15
545,1.8474111129762605e-13,3.552713678800501e-15
546,2.842170943040401e-14,8.881784197001252e-16
547,9.947598300641403e-14,3.552713678800501e-15
548,7.283063041541027e-14,1.7763568394002505e-15
549,7.460698725481052e-14,0.0
550,2.8421709430404007e-13,0.0
551,2.3447910280083306e-13,0.0
552,1.2789769243681803e-13,4.440892098500626e-16
553,1.5631940186722204e-13,0.0
554,2.842170943040401e-14,1.7763568394002505e-15
555,1.5631940186722204e-13,8.881784197001252e-16
556,5.684341886080802e-14,0.0
557,4.263256414560601e-14,0.0
558,4.263256414560601e-14,0.0
559,6.536993168992922e-13,0.0
560,3.907985046680551e-14,0.0
561,5.684341886080802e-14,3.552713678800501e-15
562,4.440892098500626e-14,4.440892098500626e-16
563,5.3290705182007514e-14,0.0
564,5.684341886080802e-14,0.0
565,9.237055564881302e-14,0.0
566,2.1316282072803006e-13,0.0
567,5.684341886080801e-13,0.0
568,2.984279490192421e-13,4.440892098500626e-16
569,3.907985046680551e-14,0.0
570,2.842170943040401e-14,1.7763568394002505e-15
571,3.552713678800501e-14,0.0
572,6.394884621840902e-14,7.105427357601002e-15
573,3.375077994860476e-14,8.881784197001252e-16
574,4.973799150320701e-14,0.0
575,7.105427357601002e-14,3.552713678800501e-15
576,4.973799150320701e-14,0.0
577,5.684341886080802e-14,3.552713678800501e-15
578,5.10702591327572e-14,4.440892098500626e-16
579,9.947598300641403e-14,0.0
580,3.552713678800501e-14,4.440892098500626e-16
581,7.460698725481052e-14,7.105427357601002e-15
582,4.618527782440651e-14,0.0
583,4.973799150320701e-14,0.0
584,7.105427357601002e-14,3.552713678800501e-15
585,3.375077994860476e-14,4.440892098500626e-16
586,2.2737367544323206e-13,0.0
587,8.526512829121202e-14,3.552713678800501e-15
588,3.836930773104541e-13,3.552713678800501e-15
589,1.2789769243681803e-13,0.0
590,9.947598300641403e-14,3.552713678800501e-15
591,1.6342482922482304e-13,3.552713678800501e-15
592,4.547473508864641e-13,3.552713678800501e-15
593,7.105427357601002e-14,3.552713678800501e-15
594,6.394884621840902e-14,3.552713678800501e-15
