image_id,raw_range,eft_range
0,2.842170943040401e-14,1.7763568394002505e-15
1,3.197442310920451e-14,8.881784197001252e-16
2,1.4210854715202004e-14,1.7763568394002505e-15
3,2.0095036745715333e-14,1.1102230246251565e-16
4,2.1316282072803006e-14,2.220446049250313e-16
5,2.3092638912203256e-14,1.7763568394002505e-15
6,2.842170943040401e-14,3.552713678800501e-15
7,3.197442310920451e-14,3.552713678800501e-15
8,3.197442310920451e-14,1.1102230246251565e-16
9,3.197442310920451e-14,4.440892098500626e-16
10,3.197442310920451e-14,3.552713678800501e-15
11,3.019806626980426e-14,8.500145032286355e-17
12,2.4868995751603507e-14,8.881784197001252e-16
13,2.3092638912203256e-14,8.881784197001252e-16
14,2.842170943040401e-14,3.552713678800501e-15
15,2.1316282072803006e-14,1.7763568394002505e-15
16,2.1316282072803006e-14,1.7763568394002505e-15
17,3.197442310920451e-14,1.7763568394002505e-15
18,2.220446049250313e-14,8.881784197001252e-16
19,2.3092638912203256e-14,1.7763568394002505e-15
20,2.842170943040401e-14,6.661338147750939e-16
21,2.3092638912203256e-14,3.552713678800501e-15
22,2.3092638912203256e-14,1.7763568394002505e-15
23,3.197442310920451e-14,3.552713678800501e-15
24,1.5987211554602254e-14,1.7763568394002505e-15
25,3.552713678800501e-14,3.552713678800501e-15
26,3.552713678800501e-14,4.440892098500626e-16
27,2.842170943040401e-14,1.7763568394002505e-15
28,2.6645352591003757e-14,8.881784197001252e-16
29,2.842170943040401e-14,3.552713678800501e-15
30,3.552713678800501e-14,2.220446049250313e-16
31,2.1316282072803006e-14,3.552713678800501e-15
32,3.197442310920451e-14,3.552713678800501e-15
33,2.1316282072803006e-14,3.552713678800501e-15
34,3.375077994860476e-14,1.7763568394002505e-15
35,3.197442310920451e-14,1.7763568394002505e-15
36,3.197442310920451e-14,8.881784197001252e-16
37,2.4868995751603507e-14,3.552713678800501e-15
38,2.3092638912203256e-14,1.7763568394002505e-15
39,2.4868995751603507e-14,1.7763568394002505e-15
40,1.7763568394002505e-14,1.7763568394002505e-15
41,2.4868995751603507e-14,4.440892098500626e-16
42,2.842170943040401e-14,3.552713678800501e-15
43,2.842170943040401e-14,1.7763568394002505e-15
44,3.907985046680551e-14,3.552713678800501e-15
45,2.4868995751603507e-14,1.7763568394002505e-15
46,3.907985046680551e-14,3.552713678800501e-15
47,2.1316282072803006e-14,1.1102230246251565e-15
48,3.552713678800501e-14,8.881784197001252e-16
49,2.1316282072803006e-14,1.7763568394002505e-15
50,2.4868995751603507e-14,1.7763568394002505e-15
51,4.618527782440651e-14,3.552713678800501e-15
52,2.6645352591003757e-14,1.7763568394002505e-15
53,2.1316282072803006e-14,1.7763568394002505e-15
54,3.197442310920451e-14,3.552713678800501e-15
55,2.4868995751603507e-14,1.7763568394002505e-15
56,2.842170943040401e-14,1.7763568394002505e-15
57,1.7763568394002505e-14,1.7763568394002505e-15
58,2.842170943040401e-14,4.440892098500626e-16
59,1.7763568394002505e-14,1.7763568394002505e-15
60,6.394884621840902e-14,3.552713678800501e-15
61,2.842170943040401e-14,8.881784197001252e-16
62,2.042810365310288e-14,1.7763568394002505e-15
63,3.197442310920451e-14,0.0
64,3.197442310920451e-14,1.3322676295501878e-15
65,2.1316282072803006e-14,1.7763568394002505e-15
66,1.509903313490213e-14,8.881784197001252e-16
67,2.1316282072803006e-14,1.7763568394002505e-15
68,3.552713678800501e-14,1.7763568394002505e-15
69,2.6645352591003757e-14,1.7763568394002505e-15
70,4.263256414560601e-14,3.552713678800501e-15
71,3.552713678800501e-14,3.552713678800501e-15
72,3.552713678800501e-14,8.881784197001252e-16
73,3.197442310920451e-14,1.7763568394002505e-15
74,2.842170943040401e-14,1.7763568394002505e-15
75,3.019806626980426e-14,1.7763568394002505e-15
76,3.907985046680551e-14,1.7763568394002505e-15
77,2.4868995751603507e-14,2.220446049250313e-16
78,2.842170943040401e-14,1.7763568394002505e-15
79,3.197442310920451e-14,1.7763568394002505e-15
80,2.842170943040401e-14,3.552713678800501e-15
81,2.4868995751603507e-14,1.7763568394002505e-15
82,2.4868995751603507e-14,0.0
83,1.9539925233402755e-14,1.7763568394002505e-15
84,1.7763568394002505e-14,4.440892098500626e-16
85,3.197442310920451e-14,1.7763568394002505e-15
86,3.552713678800501e-14,8.881784197001252e-16
87,3.552713678800501e-14,3.552713678800501e-15
88,3.197442310920451e-14,1.7763568394002505e-15
89,1.9539925233402755e-14,8.881784197001252e-16
90,2.842170943040401e-14,3.552713678800501e-15
91,2.842170943040401e-14,3.552713678800501e-15
92,1.5987211554602254e-14,1.7763568394002505e-15
93,3.552713678800501e-14,3.552713678800501e-15
94,2.842170943040401e-14,1.7763568394002505e-15
95,2.3092638912203256e-14,8.881784197001252e-16
96,2.1316282072803006e-14,1.7763568394002505e-15
97,3.197442310920451e-14,8.881784197001252e-16
98,2.4868995751603507e-14,1.7763568394002505e-15
99,3.197442310920451e-14,0.0
100,1.9539925233402755e-14,8.881784197001252e-16
101,2.3092638912203256e-14,8.881784197001252e-16
102,4.263256414560601e-14,3.552713678800501e-15
103,2.4868995751603507e-14,4.440892098500626e-16
104,3.197442310920451e-14,8.326672684688674e-17
105,2.6645352591003757e-14,8.881784197001252e-16
106,1.7763568394002505e-14,1.7763568394002505e-15
107,1.9539925233402755e-14,1.7763568394002505e-15
108,2.4868995751603507e-14,1.7763568394002505e-15
109,2.1316282072803006e-14,8.881784197001252e-16
110,2.842170943040401e-14,0.0
111,2.842170943040401e-14,4.440892098500626e-16
112,2.842170943040401e-14,3.552713678800501e-15
113,2.1316282072803006e-14,1.7763568394002505e-15
114,3.197442310920451e-14,8.881784197001252e-16
115,1.9539925233402755e-14,1.7763568394002505e-15
116,2.842170943040401e-14,1.7763568394002505e-15
117,3.552713678800501e-14,3.552713678800501e-15
118,1.7763568394002505e-14,8.881784197001252e-16
119,3.197442310920451e-14,1.7763568394002505e-15
120,4.973799150320701e-14,7.105427357601002e-15
121,1.9539925233402755e-14,6.38378239159465e-16
122,1.5987211554602254e-14,8.881784197001252e-16
123,2.3092638912203256e-14,1.7763568394002505e-15
124,3.552713678800501e-14,8.881784197001252e-16
125,1.9539925233402755e-14,1.7763568394002505e-15
126,2.220446049250313e-14,1.7763568394002505e-15
127,3.552713678800501e-14,3.552713678800501e-15
128,3.019806626980426e-14,1.7763568394002505e-15
129,3.552713678800501e-14,3.552713678800501e-15
130,2.842170943040401e-14,1.7763568394002505e-15
131,2.842170943040401e-14,0.0
132,4.263256414560601e-14,0.0
133,2.6645352591003757e-14,3.552713678800501e-15
134,2.220446049250313e-14,3.552713678800501e-15
135,2.3092638912203256e-14,1.7763568394002505e-15
136,2.3092638912203256e-14,0.0
137,2.842170943040401e-14,1.7763568394002505e-15
138,2.842170943040401e-14,2.220446049250313e-16
139,2.1316282072803006e-14,1.7763568394002505e-15
140,1.7763568394002505e-14,1.7763568394002505e-15
141,3.552713678800501e-14,1.7763568394002505e-15
142,3.375077994860476e-14,8.881784197001252e-16
143,1.9539925233402755e-14,1.7763568394002505e-15
144,3.552713678800501e-14,1.7763568394002505e-15
145,2.4868995751603507e-14,8.881784197001252e-16
146,2.4868995751603507e-14,3.552713678800501e-15
147,2.6645352591003757e-14,1.7763568394002505e-15
148,1.7763568394002505e-14,0.0
149,1.0658141036401503e-14,8.881784197001252e-16
150,3.197442310920451e-14,4.440892098500626e-16
151,2.3092638912203256e-14,1.7763568394002505e-15
152,3.552713678800501e-14,0.0
153,2.4868995751603507e-14,3.552713678800501e-15
154,1.687538997430238e-14,8.881784197001252e-16
155,4.618527782440651e-14,1.7763568394002505e-15
156,2.842170943040401e-14,1.7763568394002505e-15
157,2.1316282072803006e-14,1.1102230246251565e-15
158,3.197442310920451e-14,8.881784197001252e-16
159,1.687538997430238e-14,1.7763568394002505e-15
160,2.3092638912203256e-14,1.7763568394002505e-15
161,2.4868995751603507e-14,1.7763568394002505e-15
162,3.907985046680551e-14,8.881784197001252e-16
163,2.4868995751603507e-14,1.7763568394002505e-15
164,2.842170943040401e-14,1.7763568394002505e-15
165,3.907985046680551e-14,3.552713678800501e-15
166,2.3092638912203256e-14,2.220446049250313e-16
167,2.1316282072803006e-14,1.7763568394002505e-15
168,2.4868995751603507e-14,1.7763568394002505e-15
169,3.197442310920451e-14,3.552713678800501e-15
170,2.4868995751603507e-14,1.7763568394002505e-15
171,3.552713678800501e-14,1.3322676295501878e-15
172,3.552713678800501e-14,8.881784197001252e-16
173,2.3092638912203256e-14,1.7763568394002505e-15
174,2.1316282072803006e-14,1.7763568394002505e-15
175,1.4210854715202004e-14,8.881784197001252e-16
176,1.4210854715202004e-14,1.7763568394002505e-15
177,2.1316282072803006e-14,1.7763568394002505e-15
178,2.842170943040401e-14,1.7763568394002505e-15
179,2.3092638912203256e-14,1.7763568394002505e-15
180,1.7763568394002505e-14,8.881784197001252e-16
181,3.197442310920451e-14,3.552713678800501e-15
182,2.4868995751603507e-14,3.552713678800501e-15
183,3.197442310920451e-14,3.552713678800501e-15
184,1.7763568394002505e-14,1.7763568394002505e-15
185,1.9539925233402755e-14,1.7763568394002505e-15
186,4.263256414560601e-14,3.552713678800501e-15
187,3.375077994860476e-14,0.0
188,3.552713678800501e-14,1.7763568394002505e-15
189,2.842170943040401e-14,1.7763568394002505e-15
190,2.3092638912203256e-14,1.7763568394002505e-15
191,2.842170943040401e-14,1.7763568394002505e-15
192,2.842170943040401e-14,1.7763568394002505e-15
193,2.3092638912203256e-14,1.7763568394002505e-15
194,2.4868995751603507e-14,1.7763568394002505e-15
195,1.7763568394002505e-14,1.7763568394002505e-15
196,2.6645352591003757e-14,1.7763568394002505e-15
197,2.842170943040401e-14,4.440892098500626e-16
198,2.4868995751603507e-14,1.7763568394002505e-15
199,3.552713678800501e-14,8.881784197001252e-16
200,3.552713678800501e-14,8.881784197001252e-16
201,2.842170943040401e-14,3.552713678800501e-15
202,1.7763568394002505e-14,2.6645352591003757e-15
203,2.1316282072803006e-14,1.7763568394002505e-15
204,2.042810365310288e-14,1.7763568394002505e-15
205,2.4868995751603507e-14,4.440892098500626e-16
206,3.197442310920451e-14,1.7763568394002505e-15
207,2.3092638912203256e-14,1.7763568394002505e-15
208,2.1316282072803006e-14,1.7763568394002505e-15
209,2.842170943040401e-14,4.440892098500626e-16
210,1.7763568394002505e-14,1.7763568394002505e-15
211,1.9539925233402755e-14,1.7763568394002505e-15
212,3.552713678800501e-14,1.7763568394002505e-15
213,3.197442310920451e-14,4.440892098500626e-16
214,2.1316282072803006e-14,1.7763568394002505e-15
215,2.3092638912203256e-14,8.881784197001252e-16
216,4.973799150320701e-14,4.440892098500626e-16
217,2.4868995751603507e-14,1.7763568394002505e-15
218,2.1316282072803006e-14,1.7763568394002505e-15
219,2.842170943040401e-14,1.7763568394002505e-15
220,2.842170943040401e-14,1.7763568394002505e-15
221,2.1316282072803006e-14,8.881784197001252e-16
222,4.085620730620576e-14,8.881784197001252e-16
223,3.907985046680551e-14,3.552713678800501e-15
224,1.3322676295501878e-14,8.881784197001252e-16
225,2.842170943040401e-14,4.440892098500626e-16
226,1.9539925233402755e-14,1.7763568394002505e-15
227,1.5987211554602254e-14,1.7763568394002505e-15
228,1.9539925233402755e-14,1.7763568394002505e-15
229,2.842170943040401e-14,8.881784197001252e-16
230,2.842170943040401e-14,8.881784197001252e-16
231,2.4868995751603507e-14,1.7763568394002505e-15
232,2.4868995751603507e-14,8.881784197001252e-16
233,3.552713678800501e-14,1.7763568394002505e-15
234,2.842170943040401e-14,8.881784197001252e-16
235,2.1316282072803006e-14,8.881784197001252e-16
236,3.552713678800501e-14,4.440892098500626e-16
237,2.1316282072803006e-14,3.552713678800501e-15
238,2.6645352591003757e-14,8.881784197001252e-16
239,2.1316282072803006e-14,1.7763568394002505e-15
240,3.552713678800501e-14,0.0
241,2.6645352591003757e-14,8.881784197001252e-16
242,3.197442310920451e-14,1.7763568394002505e-15
243,2.842170943040401e-14,1.7763568394002505e-15
244,1.7763568394002505e-14,1.7763568394002505e-15
245,2.1316282072803006e-14,3.552713678800501e-15
246,3.197442310920451e-14,1.7763568394002505e-15
247,3.552713678800501e-14,2.220446049250313e-16
248,2.842170943040401e-14,0.0
249,3.197442310920451e-14,8.881784197001252e-16
250,3.197442310920451e-14,3.552713678800501e-15
251,1.9539925233402755e-14,1.3322676295501878e-15
252,3.019806626980426e-14,1.7763568394002505e-15
253,2.842170943040401e-14,3.552713678800501e-15
254,2.842170943040401e-14,1.7763568394002505e-15
255,3.197442310920451e-14,1.1102230246251565e-16
256,3.197442310920451e-14,2.220446049250313e-16
257,1.9539925233402755e-14,1.7763568394002505e-15
258,2.842170943040401e-14,1.7763568394002505e-15
259,2.4868995751603507e-14,1.7763568394002505e-15
260,2.6645352591003757e-14,1.7763568394002505e-15
261,3.197442310920451e-14,1.7763568394002505e-15
262,4.618527782440651e-14,3.552713678800501e-15
263,3.197442310920451e-14,1.3322676295501878e-15
264,2.1316282072803006e-14,8.881784197001252e-16
265,2.842170943040401e-14,3.552713678800501e-15
266,1.9539925233402755e-14,8.881784197001252e-16
267,2.842170943040401e-14,1.7763568394002505e-15
268,1.7763568394002505e-14,1.7763568394002505e-15
269,1.9539925233402755e-14,0.0
270,3.197442310920451e-14,1.9984014443252818e-15
271,2.842170943040401e-14,4.440892098500626e-16
272,2.4868995751603507e-14,1.7763568394002505e-15
273,3.197442310920451e-14,0.0
274,3.552713678800501e-14,1.7763568394002505e-15
275,3.907985046680551e-14,1.7763568394002505e-15
276,2.4868995751603507e-14,1.7763568394002505e-15
277,2.4868995751603507e-14,4.440892098500626e-16
278,2.842170943040401e-14,1.7763568394002505e-15
279,1.5987211554602254e-14,1.7763568394002505e-15
280,3.197442310920451e-14,3.552713678800501e-15
281,2.842170943040401e-14,1.7763568394002505e-15
282,2.4868995751603507e-14,8.881784197001252e-16
283,2.842170943040401e-14,3.552713678800501e-15
284,2.842170943040401e-14,1.7763568394002505e-15
285,3.552713678800501e-14,1.7763568394002505e-15
286,3.197442310920451e-14,1.7763568394002505e-15
287,3.197442310920451e-14,1.7763568394002505e-15
288,1.7763568394002505e-14,1.7763568394002505e-15
289,2.842170943040401e-14,1.7763568394002505e-15
290,2.4868995751603507e-14,0.0
291,3.197442310920451e-14,3.552713678800501e-15
292,2.7533531010703882e-14,8.881784197001252e-16
293,1.9539925233402755e-14,8.881784197001252e-16
294,2.842170943040401e-14,4.440892098500626e-16
295,2.842170943040401e-14,1.7763568394002505e-15
296,3.907985046680551e-14,3.552713678800501e-15
297,2.6645352591003757e-14,1.7763568394002505e-15
298,2.842170943040401e-14,1.7763568394002505e-15
299,2.1316282072803006e-14,8.881784197001252e-16
300,2.6645352591003757e-14,1.7763568394002505e-15
301,3.197442310920451e-14,3.552713678800501e-15
302,2.4868995751603507e-14,8.881784197001252e-16
303,1.9539925233402755e-14,1.7763568394002505e-15
304,2.842170943040401e-14,3.552713678800501e-15
305,3.019806626980426e-14,1.7763568394002505e-15
306,3.197442310920451e-14,3.552713678800501e-15
307,2.4868995751603507e-14,8.881784197001252e-16
308,3.552713678800501e-14,2.220446049250313e-16
309,2.842170943040401e-14,4.440892098500626e-16
310,2.842170943040401e-14,4.440892098500626e-16
311,3.552713678800501e-14,8.881784197001252e-16
312,2.4868995751603507e-14,3.552713678800501e-15
313,3.552713678800501e-14,1.7763568394002505e-15
314,2.842170943040401e-14,1.7763568394002505e-15
315,2.842170943040401e-14,3.552713678800501e-15
316,2.4868995751603507e-14,6.661338147750939e-16
317,3.197442310920451e-14,6.106226635438361e-16
318,2.842170943040401e-14,1.7763568394002505e-15
319,3.552713678800501e-14,3.552713678800501e-15
320,1.5987211554602254e-14,1.7763568394002505e-15
321,3.552713678800501e-14,1.7763568394002505e-15
322,2.4868995751603507e-14,2.220446049250313e-16
323,3.552713678800501e-14,7.494005416219807e-16
324,1.0658141036401503e-14,6.661338147750939e-16
325,2.842170943040401e-14,3.552713678800501e-15
326,1.7763568394002505e-14,1.7763568394002505e-15
327,3.019806626980426e-14,8.881784197001252e-16
328,3.197442310920451e-14,8.881784197001252e-16
329,2.4868995751603507e-14,3.552713678800501e-15
330,2.4868995751603507e-14,4.440892098500626e-16
331,2.842170943040401e-14,4.440892098500626e-16
332,2.1316282072803006e-14,3.552713678800501e-15
333,3.552713678800501e-14,4.440892098500626e-16
334,3.197442310920451e-14,3.552713678800501e-15
335,2.4868995751603507e-14,1.7763568394002505e-15
336,3.197442310920451e-14,1.7763568394002505e-15
337,3.197442310920451e-14,1.7763568394002505e-15
338,2.842170943040401e-14,3.552713678800501e-15
339,2.4868995751603507e-14,1.7763568394002505e-15
340,2.842170943040401e-14,3.552713678800501e-15
341,1.2434497875801753e-14,8.881784197001252e-16
342,2.1316282072803006e-14,1.7763568394002505e-15
343,3.197442310920451e-14,3.552713678800501e-15
344,2.1316282072803006e-14,8.881784197001252e-16
345,2.6645352591003757e-14,1.7763568394002505e-15
346,2.1316282072803006e-14,1.7763568394002505e-15
347,2.6645352591003757e-14,1.7763568394002505e-15
348,2.1316282072803006e-14,1.7763568394002505e-15
349,3.197442310920451e-14,5.065392549852277e-16
350,2.4868995751603507e-14,3.552713678800501e-15
351,4.263256414560601e-14,3.552713678800501e-15
352,3.019806626980426e-14,1.7763568394002505e-15
353,4.085620730620576e-14,3.552713678800501e-15
354,2.4868995751603507e-14,8.881784197001252e-16
355,2.4868995751603507e-14,1.7763568394002505e-15
356,3.552713678800501e-14,3.552713678800501e-15
357,1.3322676295501878e-14,8.881784197001252e-16
358,2.4868995751603507e-14,1.7763568394002505e-15
359,2.5757174171303632e-14,1.7763568394002505e-15
360,3.907985046680551e-14,8.881784197001252e-16
361,3.552713678800501e-14,1.7763568394002505e-15
362,3.197442310920451e-14,3.552713678800501e-15
363,3.907985046680551e-14,1.7763568394002505e-15
364,3.552713678800501e-14,1.7763568394002505e-15
365,1.9539925233402755e-14,8.881784197001252e-16
366,2.1316282072803006e-14,1.7763568394002505e-15
367,2.6645352591003757e-14,1.7763568394002505e-15
368,2.1316282072803006e-14,1.7763568394002505e-15
369,2.4868995751603507e-14,1.7763568394002505e-15
370,2.842170943040401e-14,3.552713678800501e-15
371,3.197442310920451e-14,1.7763568394002505e-15
372,1.9539925233402755e-14,8.881784197001252e-16
373,2.4868995751603507e-14,1.7763568394002505e-15
374,2.4868995751603507e-14,8.881784197001252e-16
375,3.552713678800501e-14,3.885780586188048e-16
376,2.1316282072803006e-14,3.552713678800501e-15
377,1.7763568394002505e-14,1.7763568394002505e-15
378,2.4868995751603507e-14,8.881784197001252e-16
379,2.3092638912203256e-14,1.7763568394002505e-15
380,2.842170943040401e-14,2.220446049250313e-16
381,2.4868995751603507e-14,3.552713678800501e-15
382,3.907985046680551e-14,3.552713678800501e-15
383,2.4868995751603507e-14,3.552713678800501e-15
384,4.263256414560601e-14,8.881784197001252e-16
385,1.9539925233402755e-14,1.7763568394002505e-15
386,2.842170943040401e-14,1.7763568394002505e-15
387,2.4868995751603507e-14,8.881784197001252e-16
388,1.7763568394002505e-14,1.7763568394002505e-15
389,2.842170943040401e-14,4.440892098500626e-16
390,2.4868995751603507e-14,1.7763568394002505e-15
391,2.3092638912203256e-14,1.7763568394002505e-15
392,2.842170943040401e-14,1.7763568394002505e-15
393,2.1316282072803006e-14,1.7763568394002505e-15
394,1.865174681370263e-14,4.440892098500626e-16
395,2.842170943040401e-14,1.1102230246251565e-16
396,3.197442310920451e-14,8.881784197001252e-16
397,3.197442310920451e-14,3.552713678800501e-15
398,2.1316282072803006e-14,1.7763568394002505e-15
399,2.3092638912203256e-14,1.7763568394002505e-15
400,2.1316282072803006e-14,1.7763568394002505e-15
401,1.7763568394002505e-14,1.7763568394002505e-15
402,2.842170943040401e-14,3.552713678800501e-15
403,1.9539925233402755e-14,8.881784197001252e-16
404,3.197442310920451e-14,1.7763568394002505e-15
405,3.197442310920451e-14,1.7763568394002505e-15
406,3.907985046680551e-14,0.0
407,2.4868995751603507e-14,3.552713678800501e-15
408,3.197442310920451e-14,1.7763568394002505e-15
409,3.197442310920451e-14,3.552713678800501e-15
410,4.618527782440651e-14,3.552713678800501e-15
411,2.842170943040401e-14,1.7763568394002505e-15
412,3.197442310920451e-14,1.7763568394002505e-15
413,3.907985046680551e-14,3.552713678800501e-15
414,1.5987211554602254e-14,8.881784197001252e-16
415,3.375077994860476e-14,1.7763568394002505e-15
416,2.1316282072803006e-14,1.7763568394002505e-15
417,2.4868995751603507e-14,8.881784197001252e-16
418,1.7763568394002505e-14,1.7763568394002505e-15
419,2.1316282072803006e-14,1.7763568394002505e-15
420,1.2434497875801753e-14,8.881784197001252e-16
421,3.197442310920451e-14,3.552713678800501e-15
422,2.6645352591003757e-14,2.220446049250313e-16
423,3.552713678800501e-14,3.552713678800501e-15
424,2.842170943040401e-14,1.7763568394002505e-15
425,1.9539925233402755e-14,1.7763568394002505e-15
426,2.4868995751603507e-14,1.7763568394002505e-15
427,2.4868995751603507e-14,1.7763568394002505e-15
428,2.842170943040401e-14,3.552713678800501e-15
429,2.1316282072803006e-14,1.3322676295501878e-15
430,2.1316282072803006e-14,1.7763568394002505e-15
431,2.6645352591003757e-14,1.7763568394002505e-15
432,2.842170943040401e-14,1.7763568394002505e-15
433,3.197442310920451e-14,1.7763568394002505e-15
434,2.4868995751603507e-14,3.552713678800501e-15
435,1.9539925233402755e-14,1.7763568394002505e-15
436,2.1316282072803006e-14,1.7763568394002505e-15
437,4.618527782440651e-14,0.0
438,3.552713678800501e-14,3.552713678800501e-15
439,2.842170943040401e-14,8.881784197001252e-16
440,3.907985046680551e-14,3.552713678800501e-15
441,2.6645352591003757e-14,1.7763568394002505e-15
442,3.907985046680551e-14,3.552713678800501e-15
443,1.5987211554602254e-14,8.881784197001252e-16
444,2.842170943040401e-14,1.1102230246251565e-16
445,2.842170943040401e-14,1.7763568394002505e-15
446,2.842170943040401e-14,1.7763568394002505e-15
447,2.2648549702353193e-14,1.7763568394002505e-15
448,2.842170943040401e-14,1.7763568394002505e-15
449,4.263256414560601e-14,3.552713678800501e-15
450,3.552713678800501e-14,1.7763568394002505e-15
451,3.907985046680551e-14,1.7763568394002505e-15
452,2.1316282072803006e-14,8.881784197001252e-16
453,2.842170943040401e-14,8.881784197001252e-16
454,2.842170943040401e-14,3.552713678800501e-15
455,1.7763568394002505e-14,1.7763568394002505e-15
456,1.7763568394002505e-14,8.881784197001252e-16
457,1.7763568394002505e-14,1.7763568394002505e-15
458,2.4868995751603507e-14,1.7763568394002505e-15
459,2.842170943040401e-14,1.7763568394002505e-15
460,2.842170943040401e-14,1.7763568394002505e-15
461,3.552713678800501e-14,3.552713678800501e-15
462,3.552713678800501e-14,1.7763568394002505e-15
463,3.197442310920451e-14,1.7763568394002505e-15
464,4.618527782440651e-14,3.552713678800501e-15
465,2.3092638912203256e-14,1.7763568394002505e-15
466,1.9095836023552692e-14,1.7763568394002505e-15
467,4.973799150320701e-14,7.105427357601002e-15
468,4.263256414560601e-14,1.7763568394002505e-15
469,3.907985046680551e-14,1.7763568394002505e-15
470,1.9539925233402755e-14,8.881784197001252e-16
471,1.7763568394002505e-14,1.7763568394002505e-15
472,2.4868995751603507e-14,1.7763568394002505e-15
