image_id,raw_range,eft_range
0,3.197442310920451e-14,3.552713678800501e-15
1,3.552713678800501e-14,3.552713678800501e-15
2,1.7763568394002505e-14,8.881784197001252e-16
3,2.6645352591003757e-14,4.440892098500626e-16
4,2.842170943040401e-14,3.552713678800501e-15
5,2.1316282072803006e-14,1.7763568394002505e-15
6,2.842170943040401e-14,1.7763568394002505e-15
7,2.1316282072803006e-14,8.881784197001252e-16
8,2.842170943040401e-14,3.552713678800501e-15
9,3.552713678800501e-14,1.7763568394002505e-15
10,2.842170943040401e-14,1.7763568394002505e-15
11,3.907985046680551e-14,3.552713678800501e-15
12,2.842170943040401e-14,1.7763568394002505e-15
13,2.842170943040401e-14,8.881784197001252e-16
14,1.9539925233402755e-14,1.7763568394002505e-15
15,2.4868995751603507e-14,1.1102230246251565e-16
16,2.1316282072803006e-14,1.7763568394002505e-15
17,2.842170943040401e-14,3.552713678800501e-15
18,2.1316282072803006e-14,2.6645352591003757e-15
19,2.6645352591003757e-14,1.7763568394002505e-15
20,2.842170943040401e-14,8.881784197001252e-16
21,2.842170943040401e-14,1.7763568394002505e-15
22,2.4868995751603507e-14,3.552713678800501e-15
23,3.197442310920451e-14,1.7763568394002505e-15
24,1.9539925233402755e-14,1.7763568394002505e-15
25,3.552713678800501e-14,1.7763568394002505e-15
26,2.1316282072803006e-14,8.881784197001252e-16
27,3.552713678800501e-14,3.552713678800501e-15
28,2.842170943040401e-14,1.7763568394002505e-15
29,1.9539925233402755e-14,1.7763568394002505e-15
30,3.552713678800501e-14,3.552713678800501e-15
31,1.2434497875801753e-14,1.7763568394002505e-15
32,3.552713678800501e-14,1.7763568394002505e-15
33,2.842170943040401e-14,1.7763568394002505e-15
34,3.907985046680551e-14,3.552713678800501e-15
35,3.552713678800501e-14,1.7763568394002505e-15
36,2.4868995751603507e-14,3.552713678800501e-15
37,1.9539925233402755e-14,1.7763568394002505e-15
38,2.3092638912203256e-14,1.7763568394002505e-15
39,2.6645352591003757e-14,1.7763568394002505e-15
40,1.0658141036401503e-14,8.881784197001252e-16
41,2.842170943040401e-14,1.7763568394002505e-15
42,3.197442310920451e-14,1.7763568394002505e-15
43,2.4868995751603507e-14,8.881784197001252e-16
44,3.197442310920451e-14,3.552713678800501e-15
45,2.842170943040401e-14,4.440892098500626e-16
46,2.4868995751603507e-14,8.881784197001252e-16
47,2.842170943040401e-14,3.552713678800501e-15
48,3.019806626980426e-14,1.7763568394002505e-15
49,1.7763568394002505e-14,8.881784197001252e-16
50,2.4868995751603507e-14,3.552713678800501e-15
51,3.197442310920451e-14,1.7763568394002505e-15
52,2.842170943040401e-14,3.552713678800501e-15
53,1.7763568394002505e-14,0.0
54,3.907985046680551e-14,3.552713678800501e-15
55,1.865174681370263e-14,1.7763568394002505e-15
56,2.842170943040401e-14,8.881784197001252e-16
57,1.9539925233402755e-14,8.881784197001252e-16
58,2.842170943040401e-14,1.7763568394002505e-15
59,2.1316282072803006e-14,3.552713678800501e-15
60,3.197442310920451e-14,1.7763568394002505e-15
61,2.4868995751603507e-14,1.7763568394002505e-15
62,1.4210854715202004e-14,1.3322676295501878e-15
63,3.197442310920451e-14,1.7763568394002505e-15
64,3.552713678800501e-14,8.881784197001252e-16
65,1.7763568394002505e-14,1.7763568394002505e-15
66,2.842170943040401e-14,3.552713678800501e-15
67,2.4868995751603507e-14,1.7763568394002505e-15
68,3.907985046680551e-14,8.881784197001252e-16
69,3.197442310920451e-14,1.7763568394002505e-15
70,3.197442310920451e-14,8.881784197001252e-16
71,4.263256414560601e-14,4.440892098500626e-16
72,2.842170943040401e-14,3.552713678800501e-15
73,1.9539925233402755e-14,1.7763568394002505e-15
74,1.5987211554602254e-14,1.7763568394002505e-15
75,3.197442310920451e-14,3.552713678800501e-15
76,3.197442310920451e-14,8.881784197001252e-16
77,2.4868995751603507e-14,3.552713678800501e-15
78,2.3092638912203256e-14,1.7763568394002505e-15
79,3.197442310920451e-14,3.552713678800501e-15
80,2.842170943040401e-14,8.881784197001252e-16
81,2.4868995751603507e-14,1.9984014443252818e-15
82,3.907985046680551e-14,3.552713678800501e-15
83,2.1316282072803006e-14,8.881784197001252e-16
84,1.7763568394002505e-14,1.7763568394002505e-15
85,3.197442310920451e-14,1.7763568394002505e-15
86,2.842170943040401e-14,3.552713678800501e-15
87,3.197442310920451e-14,1.7763568394002505e-15
88,2.930988785010413e-14,3.552713678800501e-15
89,2.1316282072803006e-14,1.7763568394002505e-15
90,2.842170943040401e-14,4.440892098500626e-16
91,3.197442310920451e-14,3.552713678800501e-15
92,1.5987211554602254e-14,8.881784197001252e-16
93,3.907985046680551e-14,3.552713678800501e-15
94,2.4868995751603507e-14,1.7763568394002505e-15
95,2.842170943040401e-14,3.552713678800501e-15
96,1.5987211554602254e-14,1.7763568394002505e-15
97,2.842170943040401e-14,1.942890293094024e-16
98,2.4868995751603507e-14,8.881784197001252e-16
99,3.197442310920451e-14,8.881784197001252e-16
100,2.042810365310288e-14,1.7763568394002505e-15
101,2.4868995751603507e-14,4.440892098500626e-16
102,3.375077994860476e-14,8.881784197001252e-16
103,2.842170943040401e-14,1.7763568394002505e-15
104,2.6645352591003757e-14,1.7763568394002505e-15
105,2.842170943040401e-14,3.552713678800501e-15
106,2.4868995751603507e-14,1.7763568394002505e-15
107,2.1316282072803006e-14,1.7763568394002505e-15
108,2.4868995751603507e-14,1.7763568394002505e-15
109,2.4868995751603507e-14,3.552713678800501e-15
110,2.7533531010703882e-14,3.552713678800501e-15
111,2.1316282072803006e-14,3.552713678800501e-15
112,2.842170943040401e-14,3.552713678800501e-15
113,2.842170943040401e-14,3.552713678800501e-15
114,3.197442310920451e-14,1.7763568394002505e-15
115,1.5987211554602254e-14,1.7763568394002505e-15
116,2.4868995751603507e-14,1.7763568394002505e-15
117,3.197442310920451e-14,1.7763568394002505e-15
118,1.5987211554602254e-14,1.7763568394002505e-15
119,3.552713678800501e-14,1.7763568394002505e-15
120,4.263256414560601e-14,5.828670879282072e-16
121,1.7763568394002505e-14,8.881784197001252e-16
122,1.5987211554602254e-14,8.881784197001252e-16
123,2.842170943040401e-14,2.220446049250313e-15
124,2.4868995751603507e-14,1.7763568394002505e-15
125,1.9539925233402755e-14,1.7763568394002505e-15
126,2.842170943040401e-14,1.7763568394002505e-15
127,3.197442310920451e-14,1.7763568394002505e-15
